INDLABEL,LONG,LAT
SP64,128.798,-16.941
SP65,128.798,-16.941
SP66,128.798,-16.941
SP67,128.798,-16.941
SP68,128.798,-16.941
SP69,128.798,-16.941
SP70,128.798,-16.941
SP71,128.798,-16.941
SP72,128.798,-16.941
ST01,131.788,-15.097
ST02,131.788,-15.097
ST03,131.788,-15.097
ST04,131.788,-15.097
ST05,131.788,-15.097
ST06,131.788,-15.097
ST07,131.788,-15.097
ST08,131.788,-15.097
ST09,131.788,-15.097
ST10,131.788,-15.097
ST11,131.788,-15.097
ST12,131.788,-15.097
ST13,131.788,-15.097
ST14,131.788,-15.097
ST15,131.788,-15.097
ST16,131.788,-15.097
ST17,131.788,-15.097
ST18,131.788,-15.097
ST19,131.788,-15.097
ST20,131.788,-15.097
ST21,131.788,-15.097
ST22,131.788,-15.097
ST23,131.788,-15.097
ST24,131.788,-15.097
ST25,131.788,-15.097
ST36,131.788,-15.097
SV01,127.807,-17.781
SV02,127.807,-17.781
SV03,127.807,-17.781
SV04,127.807,-17.781
SV05,127.807,-17.781
SV06,127.807,-17.781
SV07,127.807,-17.781
SV08,127.807,-17.781
SV09,127.807,-17.781
SV10,127.807,-17.781
SV11,127.807,-17.781
SV12,127.807,-17.781
SV13,127.807,-17.781
SV14,127.807,-17.781
SV15,127.807,-17.781
SV16,127.807,-17.781
SV17,127.807,-17.781
SV18,127.807,-17.781
SV19,127.807,-17.781
SV20,127.807,-17.781
SV21,127.807,-17.781
SV22,127.807,-17.781
SV23,127.807,-17.781
SV24,127.807,-17.781
SV25,127.807,-17.781
TP01,130.999,-13.608
TP02,130.999,-13.608
TP03,130.999,-13.608
TP04,130.999,-13.608
TP05,130.999,-13.608
TP06,130.999,-13.608
TP07,130.999,-13.608
TP08,130.999,-13.608
TP09,130.999,-13.608
TP10,130.999,-13.608
TP11,130.999,-13.608
TP12,130.999,-13.608
TP13,130.999,-13.608
TP14,130.999,-13.608
TP15,130.999,-13.608
TP16,130.999,-13.608
TP17,130.999,-13.608
TP18,130.999,-13.608
TP19,130.999,-13.608
TP20,130.999,-13.608
TP21,130.999,-13.608
TP22,130.999,-13.608
TP23,130.999,-13.608
TP24,130.999,-13.608
TP25,130.999,-13.608
W2703,125.59,-17.051
W2994,127.506,-15.822
WI01,128.732,-15.755
WI02,128.732,-15.755
WI03,128.732,-15.755
WN29,128.2,-15.467
WN30,128.2,-15.467
WN31,128.2,-15.467
WN32,128.2,-15.467
WN33,128.2,-15.467
WN34,128.2,-15.467
WN35,128.2,-15.467
WN36,128.2,-15.467
WN37,128.2,-15.467
WN38,128.2,-15.467
WN39,128.2,-15.467
WN40,128.2,-15.467
WN41,128.2,-15.467
WN42,128.2,-15.467
WN43,128.2,-15.467
WN44,128.2,-15.467
WN45,128.2,-15.467
WN46,128.2,-15.467
WN47,128.2,-15.467
WN48,128.2,-15.467
WN49,128.2,-15.467
WN50,128.2,-15.467
WN51,128.2,-15.467
WN52,128.2,-15.467
WN53,128.2,-15.467
WN54,128.2,-15.467
WN55,128.2,-15.467
WN56,128.2,-15.467
WN57,128.2,-15.467
WN58,128.2,-15.467
WN59,128.2,-15.467
WN60,128.2,-15.467
WN61,128.2,-15.467
WN62,128.2,-15.467
WN63,128.142,-15.587
WN64,128.142,-15.587
WN65,128.142,-15.587
WN66,128.142,-15.587
WN68,128.142,-15.587
WN69,128.142,-15.587
WN70,128.142,-15.587
WN71,128.142,-15.587
WN72,128.142,-15.587
WN73,128.142,-15.587
WN74,128.142,-15.587
WN75,128.142,-15.587
WN76,128.142,-15.587
WN77,128.142,-15.587
WN83,128.2,-15.467
WN85,128.2,-15.467
WN86,128.142,-15.587
WR01,131.6,-15.311
WR02,131.6,-15.311
WR03,131.6,-15.311
WR04,131.6,-15.311
WR05,131.6,-15.311
WR06,131.6,-15.311
WR07,131.6,-15.311
WR08,131.6,-15.311
WR09,131.6,-15.311
WR10,131.6,-15.311
WR11,131.6,-15.311
WR12,131.6,-15.311
WR13,131.6,-15.311
WR14,131.6,-15.311
WR15,131.6,-15.311
WR17,131.6,-15.311
WR18,131.6,-15.311
WR19,131.6,-15.311
WR20,131.6,-15.311
WR21,131.6,-15.311
